Mean,0.999,1.118,1.233,1.231,1.265,0.99,1.015,1.038,1.163,1.258
SD,0.027,0.065,0.09,0.083,0.076,0.02,0.03,0.02,0.051,0.088
Model,1,1.113,1.218,1.225,1.273,1,1.017,1.027,1.161,1.271
