Mean,-0.466,4.143,8.55,9.589,9.49,0.52,0.395,1.286,6.813,9.948
SD,1.448,1.193,1.72,1.057,1.263,1.105,0.985,1.13,2.305,1.233
Model,-0.065,5.02,8.817,9.415,9.998,-0.053,0.583,1.188,5.971,9.998
